instancia	literatura	one	one_m	one_md	one_m_time	one_time	two	two_m	two_md	two_m_time	two_time	four	four_m	four_md	four_m_time	four_time	eight	eight_m	eight_md	eight_m_time	eight_time	ten	ten_m	ten_md	ten_m_time	ten_time	twenty	twenty_m	twenty_md	twenty_m_time	twenty_time	thirty	thirty_m	thirty_md	thirty_m_time	thirty_time	forty	forty_m	forty_md	forty_m_time	forty_time	fifty	fifty_m	fifty_md	fifty_m_time	fifty_time	sixty	sixty_m	sixty_md	sixty_m_time	sixty_time	one_g	one_m_g	one_md_g	two_g	two_m_g	two_md_g	four_g	four_m_g	four_md_g	eight_g	eight_m_g	eight_md_g	ten_g	ten_m_g	ten_md_g	twenty_g	twenty_m_g	twenty_md_g	thirty_g	thirty_m_g	thirty_md_g	forty_g	forty_m_g	forty_md_g	fifty_g	fifty_m_g	fifty_md_g	sixty_g	sixty_m_g	sixty_md_g
C109	10828.94	10828.94	10867.8200022141	10861.3500013351	115237	121898	10828.94	10838.9500018994	10833.2500027418	106.594333333333	114.4255	10828.94	10830.6866683722	10828.94	87.5273666666667	75444	10828.94	10828.94	10828.94	84.1341333333333	76.4365	10828.94	10828.94	10828.94	88.9494666666667	85.8435	10828.94	10828.94	10828.94	93.3623	84961	10828.94	10828.94	10828.94	91.8308666666667	85.6065	10828.94	10828.94	10828.94	96.0534	93482	10828.94	10828.94	10828.94	86.0227333333333	88.8235	10828.94	10828.94	10828.94	93.6038333333333	98952	0	0.00359037931820779	0.00299290616949983	0	0.000924375044963005	0.000398007814413336	0	0.000161296338529357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C208	3588.32	3588.32	3609.35333624681	3588.32	17.7066	15.8265	3588.32	3592.7033362786	3588.32	18.9195666666667	17.2055	3588.32	3588.32	3588.32	12.5973333333333	10488	3588.32	3588.32	3588.32	7.79606666666667	5.6715	3588.32	3588.32	3588.32	8.62946666666667	7.2265	3588.32	3588.32	3588.32	5.53176666666667	6188	3588.32	3588.32	3588.32	3.11406666666667	1.8995	3588.32	3588.32	3588.32	4.0712	2803	3588.32	3588.32	3588.32	3.60866666666667	2202	3588.32	3588.32	3588.32	2.21413333333333	1.5185	0	0.00586161107337366	0	0	0.00122155668351685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R112	9982.14	10994.099997282	11020.3333310207	11024.149995029	105.013433333333	108743	10967.6999931335	11001.5233302514	11001.2499964833	131.5293	141797	10970.1999976635	10992.1466639042	10990.3499975801	125.595433333333	128.4815	10968.1999988556	10988.0533306162	10988.9499967098	155.659366666667	161936	10967.2999954224	10987.0633310556	10987.6999987364	202.303433333333	217.2005	10954.6999940872	10978.2866629839	10979.8499971032	278.039766666667	283678	10963.3999942541	10977.9366628965	10978.2999937534	318.6837	317947	10960.5999963284	10975.1599964261	10975.4999963045	300.6074	319.4255	10960.7999973297	10973.4299963991	10972.9499945641	313.079733333333	341.9995	10956.2999951839	10972.0866631071	10971.3499951363	420.949566666667	436301	0.101377059155855	0.104005086185996	0.104387435462634	0.0987323352641363	0.102120720632187	0.102093338350627	0.0989827830168179	0.101181376328542	0.101001388237397	0.0987824252971398	0.100771310622387	0.100861137662848	0.0986922639256075	0.10067213353606	0.100735914216429	0.0974300094055202	0.0997928964113801	0.0999495095343498	0.0983015660223272	0.09975783378078	0.0997942318734694	0.0980210652553816	0.0994796703338269	0.0995137311542928	0.0980411011396066	0.0993063608002979	0.0992582747350826	0.0975902957866695	0.0991717871225085	0.0990979885211249
R211	2885.71	3814.29999423027	3870.29333098729	3877.89999651909	61.8001	64.9485	3797.39999628067	3847.6466640075	3850.5999982357	76.7364333333333	81.3165	3813.89999628067	3839.36666440964	3837.84999668598	85.2528	89631	3794.5999982357	3832.08666435083	3833.29999554157	83.3132666666667	90693	3797.09999728203	3826.5733307004	3829.09999716282	84.5029	89316	3803.89999580383	3818.72999728123	3816.6999963522	123.912966666667	131.0915	3789.59999608994	3813.8733302633	3817.59999728203	131.8284	133.1575	3787.19999837875	3814.44666395187	3815.94999504089	113591	117.5325	3790.49999547005	3809.61999687751	3810.64999854565	145.395533333333	148.1645	3778.69999694824	3802.67333034277	3805.19999837875	148.7974	153346	0.321789089766564	0.341192750133345	0.343828727252249	0.315932646135845	0.333344883584111	0.334368317757399	0.321650476409851	0.330475572531418	0.329949993826816	0.314962348342592	0.327952796487113	0.328373258415285	0.315828685932415	0.326042232483651	0.326917811270994	0.318185124563394	0.323324241618608	0.322620774905377	0.313229671758401	0.321641235697037	0.322932656878906	0.312397988148065	0.321839915983198	0.322360873074874	0.313541553194897	0.320167306097117	0.32052423789835	0.30945243872331	0.317760041841616	0.318635621174253
RC108	11139.82	12146.3000011444	12190.4900029818	12190.950003624	120.456966666667	120888	11208.9000000954	12156.1233360529	12181.800003767	129.4373	128665	11152.3000016212	12069.6600032489	12166.3500032425	149.348166666667	158289	11164.7000026703	11994.5000024239	12151.7500035763	156.765533333333	175257	11149.1000022888	11932.6566696485	12155.5000053644	192.897333333333	202.4315	11144.3000044823	11697.8733356237	12132.500002861	236.2404	248.1235	11149.4000005722	11599.5166688681	11223.3000025749	292.554566666667	312978	11149.3000020981	11409.9133355935	11185.1500003338	265.114133333333	265.2815	11150.6000008583	11474.8833353599	11200.8000032902	267.1402	262879	11145.9000029564	11406.2233353535	11189.3500027657	340.6579	376412	0.0903497544075586	0.0943166050243022	0.094357898388301	0.00620117740640044	0.0912315760984374	0.0935365206769063	0.00112030550055985	0.0834699306854915	0.0921496041446355	0.00223342950517049	0.0767229634252548	0.0908389905381127	0.000833047777147086	0.0711714075854447	0.0911756209134814	0.000402161299039803	0.050095363805137	0.0891109553710045	0.000859978040238072	0.0412660769086095	0.00749383765401245	0.000851001371483901	0.0242457540241711	0.00406918606708064	0.000967699734673197	0.0300779846855597	0.00547405642911436	0.000545790053734322	0.0239145098712128	0.00444621212601782
RC208	3828.14	3877.60000514984	3973.25000257492	3967.20000243187	61.9598	67.6775	3888.30000448227	3936.52666902542	3931.65000367165	77.1326666666667	78.5735	3877.60000276566	3926.13666890462	3925.09999978542	78.8105	84.0075	3863.30000305176	3908.84333635171	3911.30000305176	82.4069	86.7295	3853.20000219345	3897.21000254154	3900.60000276566	70.0599666666667	74843	3843.90000295639	3893.04333601793	3891.40000426769	118.318533333333	126.3815	3849.80000209808	3879.6833359321	3879.05000376701	125.6839	131707	3843.5000038147	3874.78000315825	3875.70000195503	118.672166666667	123462	3855.00000190735	3874.45333576202	3875.45000386238	126.877033333333	127304	3841.30000519753	3874.80000268618	3875.75000178814	139.434166666667	143.53	0.0129201139848181	0.0379061378567452	0.0363257358487071	0.0157152048990553	0.0283131413755561	0.0270392419482167	0.0129201133620128	0.0255990295299081	0.0253282272292611	0.00918461786971165	0.0210816052578308	0.0217233442485797	0.00654626063661492	0.0180427054761692	0.0189282530852204	0.00411688260000692	0.0169542744042607	0.0165249975883047	0.00565810082653289	0.0134643288730548	0.0132988876496193	0.00401239343772626	0.0121834632898096	0.0124237885644288	0.00701646280108584	0.0120981301002638	0.0123584831961164	0.0034377021732552	0.0121886876358187	0.0124368496941438
C108	10828.94	10828.94	10839.4700018803	10828.94	33.9534666666667	35.1595	10828.94	10832.4266683737	10828.94	30.7264	30.6445	10828.94	10828.94	10828.94	27.2238333333333	25.8485	10828.94	10828.94	10828.94	17.6108666666667	17167	10828.94	10828.94	10828.94	14.0564	13219	10828.94	10828.94	10828.94	12.6731666666667	11949	10828.94	10828.94	10828.94	12.8746333333333	12614	10828.94	10828.94	10828.94	12.8071666666667	14512	10828.94	10828.94	10828.94	12.2545	11.4845	10828.94	10828.94	10828.94	12.8745	12.1605	0	0.000972394516945167	0	0	0.000321976885433262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C207	3588.29	3588.29	3606.59000293414	3588.29	16.1736	16174	3588.29	3604.93333611488	3588.29	15.8261333333333	11866	3588.29	3588.32333609263	3588.29	10.0100333333333	5991	3588.29	3588.29	3588.29	10.1831333333333	8.6935	3588.29	3588.29	3588.29	3.2822	2511	3588.29	3588.29	3588.29	3.52363333333333	3.5855	3588.29	3588.29	3588.29	2.84443333333333	2679	3588.29	3588.29	3588.29	2.67096666666667	2.4885	3588.29	3588.29	3588.29	2.43413333333333	1.58	3588.29	3588.29	3588.29	2.50953333333333	1533	0	0.00509992306478514	0	0	0.0046382360720241	0	0	9.29024483280026e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R111	11096.72	12083.199999094	12255.4599998673	12117.0000001192	120.030733333333	128.1915	12067.299998641	12117.4	12118.5000021458	147.6291	150905	11112.0000030994	12061.3599999428	12091.4499964714	198.508466666667	226197	12070.4999996424	12092.5099993149	12092.3500005007	195.6271	202444	12066.5000008345	12087.9899999658	12086.7499997616	229.133366666667	247.4955	12060.099996686	12079.4266666373	12078.7499995828	271.512866666667	277659	11159.7999970913	12046.7333331863	12075.2499994636	300.501733333333	306.0325	11105.4999976158	12005.430000035	12069.6499990225	276.495033333333	296366	11125.0000025034	12010.8733336051	12074.0499995947	285.946966666667	295.7285	11099.2999978065	11976.1066669305	12069.4500018954	313.100133333333	318.8595	0.0888983410497886	0.104421847164503	0.0919442862502803	0.0874654851740888	0.0919803329272074	0.092079461511669	0.0013769837483006	0.086930191979502	0.0896418037466392	0.0877538587656869	0.0897373277252147	0.0897229091570013	0.0873933919964157	0.0893300002132006	0.0892182554630181	0.08681664461985	0.0885583007084312	0.0884973216935066	0.00568456238341546	0.0856120847589476	0.0881819131656525	0.000791224579498705	0.0818899638843703	0.0876772594985261	0.00254850104385762	0.0823804992470866	0.0880737731144599	0.000232500937804119	0.0792474413097309	0.0876592364135914
R210	3939.37	3973.09999918938	4029.66666587989	4026.79999554157	78.4453	78.5925	3966.59999871254	4004.68333213727	3998.400000453	90.4076	94434	3964.19999623299	3992.30333253543	3992.34999710321	73.3617666666667	73.2255	3944.79999649525	3983.74666490555	3983.44999861717	100577	104.1505	3952.89999842644	3977.12666463852	3979.39999687672	80.3783	81.65	3959.99999761581	3972.89666537841	3971.0999994874	102.667533333333	103.2485	3949.6999976635	3969.05333175659	3968.34999918938	113554	112623	3956.39999556541	3969.64999745289	3971.39999818802	121.4173	127.3455	3947.39999771118	3964.98333143791	3966.24999910593	118.699666666667	120.22	3946.69999670982	3965.45999797185	3966.00000053644	125.570533333333	125444	0.00856228259578992	0.022921600631544	0.0221939029696557	0.0069122724477619	0.0165796389111119	0.0149846296369712	0.00630303734683123	0.0134370045300203	0.0134488502230596	0.00137839210209932	0.0112649141628099	0.0111896061088886	0.00343455893364611	0.00958444234446609	0.0101615224964186	0.00523687737273075	0.0085106667762641	0.00805458727852427	0.00262224611130664	0.00753504538964149	0.0073565060376093	0.0043230251449888	0.00768650760220411	0.00813074125761706	0.00203839642155516	0.00650188518415528	0.00682342585386253	0.00186070277984138	0.00662288588577688	0.0067599642928798
RC107	12230.48	12270.7000055313	13019.6266724269	13294.1000071764	216.815833333333	243.66	12230.48	12919.560006094	13288.8500074148	247.547666666667	270.14	12240.8000051975	12745.61667219	12322.0000009537	193.3106	198.1215	12230.48	12404.5233408531	12275.0500109196	246.883133333333	261126	12235.7000043392	12400.6433393002	12267.3500061035	223.459933333333	237646	12231.7000081539	12258.970006156	12262.2500071526	291.130466666667	314559	12230.48	12253.3100060066	12253.7500020266	278.1882	299228	12230.48	12251.2200067123	12249.2500056028	310.135166666667	316442	12230.48	12248.9900061448	12247.9000052214	313.917533333333	340992	12230.48	12250.7866736889	12249.5000097752	370.3473	391.1565	0.00328850589112704	0.0645229518732592	0.0869646986198743	0	0.0563412070576118	0.0865354432054031	0.000843793963730406	0.0421190887185156	0.00748294432873238	0	0.0142302952012558	0.00364417511982942	0.000426802900558161	0.0139130548678511	0.00301460008957261	9.9751453247611e-05	0.00232942665831328	0.0025976091823508	0	0.00186664840681309	0.00190262377490976	0	0.00169576392032676	0.00153469083820398	0	0.00151343251817109	0.00142431083828004	0	0.00166033333842078	0.00155513191429626
RC207	4061.14	4120.00000309944	4576.64000310898	4225.30000257492	98.6522333333333	104814	4092.00000619888	4478.61667055289	4198.95000302792	105.272166666667	105.9635	4118.30000424385	4296.94667110443	4183.60000765324	85.3832666666667	82.8485	4074.60000753403	4139.2666712602	4128.45000267029	105.585866666667	112368	4077.20000934601	4139.78667110602	4139.65000116825	88.1349666666667	87.4345	4086.40000247955	4116.66000358264	4115.60000407696	122.7042	121.3565	4075.80000925064	4109.5433385849	4112.60000705719	112.208933333333	111.43	4065.60000991821	4102.1033381621	4103.25000452995	114.1961	128.3025	4068.40000319481	4098.66333847046	4099.40000617504	125.199366666667	130.7355	4067.10000276566	4095.3800049146	4094.90000629425	129.592033333333	140579	0.0144934681147267	0.126934802323726	0.0404221481098707	0.00759885308038697	0.102797901710576	0.0339338222833775	0.0140748667231	0.0580641571343099	0.0301540965475793	0.00331434216353703	0.0192376207814055	0.0165741645622381	0.00395455693376933	0.0193656636082529	0.019332010511396	0.00621992900504609	0.0136710390635724	0.0134100287300998	0.00360982612040967	0.0119186579593168	0.0126713206284909	0.00109821624425963	0.0100866599432928	0.0103690108023739	0.00178767616846714	0.00923960722123809	0.00942100153529326	0.0014675689007656	0.00843113138542411	0.00831293831147169
C107	10828.94	10828.94	10833.0766686678	10828.94	12.9800666666667	5526	10828.94	10828.94	10828.94	7.56783333333333	7004	10828.94	10828.94	10828.94	5.07093333333333	3.8065	10828.94	10828.94	10828.94	4.1495	3.5305	10828.94	10828.94	10828.94	2.89086666666667	2329	10828.94	10828.94	10828.94	1.9556	1678	10828.94	10828.94	10828.94	2.69163333333333	1.7875	10828.94	10828.94	10828.94	2.3755	2265	10828.94	10828.94	10828.94	2.67046666666667	2254	10828.94	10828.94	10828.94	2.81896666666667	2358	0	0.000382001254766583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C206	3588.49	3588.49	3604.9400024573	3588.49	10109	8.8425	3588.49	3588.60333587329	3588.49	7.07783333333333	5514	3588.49	3588.49	3588.49	3.23233333333333	1982	3588.49	3588.49	3588.49	3.2817	2014	3588.49	3588.49	3588.49	2.3169	1366	3588.49	3588.49	3588.49	1.74676666666667	1.1645	3588.49	3588.49	3588.49	1.26313333333333	1042	3588.49	3588.49	3588.49	1.19956666666667	1.0905	3588.49	3588.49	3588.49	1.20366666666667	1.21	3588.49	3588.49	3588.49	1.44046666666667	1326	0	0.00458410151827127	0	0	3.15831654223252e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R110	11118.84	12105.1999938488	12491.9133305629	12177.2999976873	274.859833333333	287.0475	12092.9999961853	12410.4866638581	12152.2499961853	303816	321855	12100.6999969482	12267.4099965731	12136.8499975204	244.144233333333	250.7515	12085.5999965668	12125.049996376	12129.2999970317	300.496233333333	301.2525	12098.0999939442	12123.5699958563	12122.2999944687	276.673066666667	283.3015	12086.2999966145	12106.9099957784	12105.7999954224	334.374233333333	356.2465	12082.8999962807	12104.9133295298	12103.6499948502	352.2294	375008	12087.9999959469	12104.8333294153	12104.3999958038	333.552933333333	355.3685	12084.1999971867	12102.5999960343	12103.6499974728	354.836533333333	376788	12085.8999946117	12100.4499960264	12099.8499968052	409.345033333333	422.4835	0.0887106922888359	0.123490699620006	0.0951951820232452	0.0876134557368667	0.116167393708165	0.0929422490282532	0.0883059740897649	0.103299444597919	0.0915572125797697	0.0869479187187487	0.090495950690543	0.0908781848674582	0.0880721364768418	0.0903628432333126	0.090248622560329	0.0870108749306992	0.0888644854839535	0.0887646548940684	0.0867050876063213	0.0886849104339806	0.088571289347644	0.0871637685178386	0.0886777154285269	0.0886387425130529	0.086822006359176	0.0884768551426502	0.0885712895835144	0.0869748997747733	0.0882834896469736	0.0882295272533098
R209	3909.16	3964.09999549389	4016.89999692837	4015.24999606609	75.7470333333333	83.4955	3925.89999818802	3988.8366636912	3984.3999979496	93.7676666666667	99.3185	3928.99999904633	3970.5966635704	3962.49999511242	88.0401333333333	93439	3922.39999723434	3950.91999649207	3952.64999866486	104.1275	109654	3926.69999551773	3955.2799969991	3958.54999554157	96.3346	97.7245	3910.09999752045	3944.58332964579	3948.24999415874	114.331833333333	119441	3921.79999899864	3943.85333031813	3945.59999763966	104.1751	108.9305	3913.99999475479	3936.98333023389	3936.4499976635	108.333666666667	113.3885	3909.16	3934.50666365623	3935.04999661446	121.640533333333	121542	3917.69999718666	3935.18999667962	3933.69999694824	135.887833333333	143672	0.0140541690526581	0.0275609074400573	0.0271388216563389	0.00428224943159629	0.020382042098866	0.0192471011546215	0.00507525889099598	0.0157160780245383	0.0136448738635459	0.00338691617491856	0.0106826009915348	0.0111251518650698	0.00448689629427572	0.011797930245655	0.0126344267161162	0.000240460231979996	0.00906162184351442	0.00999958921066034	0.00323343096691926	0.00887488112999548	0.009321695105766	0.00123811631010023	0.00711747030919475	0.00698103880718571	0	0.00648391563820227	0.00662290533374339	0.00218461183135531	0.00665871867092271	0.00627756268565173
RC106	12424.73	13409.2000017166	14370.1433368047	14435.4000041485	252.934966666667	269.2635	13382.7000060081	14092.6800050418	14413.4500045776	271.950466666667	290498	13386.8000054359	14192.0833378315	14425.0000021458	228.790866666667	235.75	13382.7000060081	13978.8800045649	14394.5500030518	301.258933333333	303.1595	13389.1000037193	13910.0366705736	13920.3500058651	265.9331	296.1535	13381.8000035286	13572.4466712316	13415.200003624	321.1173	343.9145	13382.7000060081	13549.2900049527	13420.5500049591	310.349633333333	319.3965	13382.7000050545	13473.2100040277	13410.2500035763	313.4127	329381	13380.5000042915	13399.4433367729	13399.2500042915	337.661266666667	340.2525	13382.7000060081	13400.8433380763	13398.9500057697	369.9863	404305	0.0792347199268406	0.156575904410374	0.161828064203285	0.0771018771440626	0.134244366279328	0.160061426250521	0.0774318641480293	0.142244808364568	0.160991023720094	0.0771018771440626	0.125085213486725	0.158540266311764	0.0776169786964651	0.11954438209712	0.120374447240712	0.0770294407627848	0.0923735703899874	0.0797176279584315	0.0771018771440626	0.0905098142939725	0.0801482209238436	0.0771018770673064	0.0843865423254819	0.0793192289551788	0.0769248107839394	0.0784494581993265	0.0784338979029351	0.0771018771440626	0.0785621368091117	0.0784097526280032
RC206	4146.32	4225.39999866486	4578.57000215848	4357.25000309944	76.5726	78479	4156.80000400543	4364.32000290553	4278.75000166893	90.5110333333333	88228	4176.70000219345	4262.85666948954	4256.20000195503	68.4628333333333	71.4575	4191.70000362396	4251.02333709399	4243.5500023365	82.7584	91.6425	4167.40000152588	4222.93333652814	4220.85000038147	76.7028333333333	77.6375	4155.69999790192	4203.48666973114	4207.40000128746	91.3072	94978	4146.32	4193.39000228246	4199.79999947548	90.4321666666667	87.1125	4154.70000219345	4199.57000238101	4199.95000338554	98.1328666666667	103.0625	4161.50000047684	4201.78666911125	4203.50000405312	98.4029333333333	104832	4146.32	4187.4566690286	4192.30000305176	103.318566666667	108421	0.0190723336994868	0.104249069574582	0.0508716170241182	0.00252754346153515	0.0525767434509464	0.0319391657346588	0.00732697963337399	0.0281060481317271	0.0265006082393623	0.0109446457639455	0.0252521120159536	0.0234497101855386	0.00508402668532077	0.0184774297517179	0.0179749754918747	0.00226224649856181	0.0137873270107325	0.0147311353893237	0	0.0113522357855788	0.0128981842876284	0.00202106981454669	0.0128427141129983	0.0129343618885045	0.0036610778899934	0.0133773247388654	0.0137905429520915	0	0.00992124800512271	0.0110893522573651
C106	10828.94	10828.94	10832.9066686948	10828.94	12.7150666666667	9.5005	10828.94	10839.1400020599	10828.94	13.0987	6.8715	10828.94	10829.0133353392	10828.94	13.5971	8138	10828.94	10828.9666686217	10828.94	9.38563333333333	6.6935	10828.94	10828.94	10828.94	7.35426666666667	6.5145	10828.94	10828.94	10828.94	4.67486666666667	3384	10828.94	10828.94	10828.94	5.8391	5.9545	10828.94	10828.94	10828.94	4.19283333333333	3384	10828.94	10828.94	10828.94	6.55253333333333	6202	10828.94	10828.94	10828.94	5.33206666666667	4216	0	0.000366302583153388	0	0	0.000941920636732246	0	0	6.7721623010123e-06	0	0	2.46271765272164e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
