"instance","literatura","one","one_m","one_md","one_m_time","one_md_time","one_time","two","two_m","two_md","two_m_time","two_md_time","two_time","four","four_m","four_md","four_m_time","four_md_time","four_time","eight","eight_m","eight_md","eight_m_time","eight_md_time","eight_time","ten","ten_m","ten_md","ten_m_time","ten_md_time","ten_time","twenty","twenty_m","twenty_md","twenty_m_time","twenty_md_time","twenty_time","thirty","thirty_m","thirty_md","thirty_m_time","thirty_md_time","thirty_time","forty","forty_m","forty_md","forty_m_time","forty_md_time","forty_time","fifty","fifty_m","fifty_md","fifty_m_time","fifty_md_time","fifty_time","sixty","sixty_m","sixty_md","sixty_m_time","sixty_md_time","sixty_time","one_g","one_m_g","one_md_g","one_time_g","two_g","two_m_g","two_md_g","two_time_g","four_g","four_m_g","four_md_g","four_time_g","eight_g","eight_m_g","eight_md_g","eight_time_g","ten_g","ten_m_g","ten_md_g","ten_time_g","twenty_g","twenty_m_g","twenty_md_g","twenty_time_g","thirty_g","thirty_m_g","thirty_md_g","thirty_time_g","forty_g","forty_m_g","forty_md_g","forty_time_g","fifty_g","fifty_m_g","fifty_md_g","fifty_time_g","sixty_g","sixty_m_g","sixty_md_g","sixty_time_g"
"C109",10828.94,10827.3000018597,10867.8200022141,10861.3500013352,115.237,121.898,3.624,10827.3000018597,10838.9500018994,10833.2500027418,106.594333333333,114.4255,43.564,10827.3000018597,10830.6866683722,10827.3000018597,87.5273666666667,75.444,37.866,10827.3000018597,10828.3200016658,10827.3000018597,84.1341333333333,76.4365,25.729,10827.3000018597,10827.4833352407,10827.3000018597,88.9494666666667,85.8435,22.372,10827.3000018597,10827.3700019121,10827.3000018597,93.3623,84.961,25.613,10827.3000018597,10827.330001688,10827.3000018597,91.8308666666667,85.6065,41.206,10827.3000018597,10827.3366685311,10827.3000018597,96.0534,93.482,27.783,10827.3000018597,10827.3766684691,10827.3000018597,86.0227333333333,88.8235,28.958,10827.3000018597,10827.3866683086,10827.3000018597,93.6038333333333,98.952,5.427,-0.000151445860841507,0.0035903793182083,0.00299290616950051,30.798289183223,-0.000151445860841507,0.000924375044964685,0.000398007814411992,1.4468444893337,-0.000151445860841507,0.000161296338532044,-0.000151445860841507,1.31150284335992,-0.000151445860841507,-5.72538340983731e-05,-0.000151445860841507,2.27001178955005,-0.000151445860841507,-0.000134515913772482,-0.000151445860841507,2.97592824363788,-0.000151445860841507,-0.000144981696070969,-0.000151445860841507,2.64511380939367,-0.000151445860841507,-0.000148675522438967,-0.000151445860841507,1.22857998026177,-0.000151445860841507,-0.000148059871868199,-0.000151445860841507,2.45727243278264,-0.000151445860841507,-0.000144366071919956,-0.000151445860841507,1.9706034026291,-0.000151445860841507,-0.00014344263532641,-0.000151445860841507,16.2478041889319
"C208",3588.32,3585.80000281334,3609.35333624681,3587.9500029087,17.7066,15.8265,1.75,3585.80000281334,3592.7033362786,3586.00000286102,18.9195666666667,17.2055,1.597,3585.80000281334,3585.85000282923,3585.80000281334,12.5973333333333,10.488,0.528,3585.80000281334,3586.25000282923,3585.80000281334,7.79606666666667,5.6715,0.694,3585.80000281334,3585.83333614667,3585.80000281334,8.62946666666667,7.2265,0.88,3585.80000281334,3585.90000282923,3585.80000281334,5.53176666666667,6.188,0.807,3585.80000281334,3585.85333614349,3585.80000281334,3.11406666666667,1.8995,0.901,3585.80000281334,3585.9166694959,3585.80000281334,4.0712,2.803,1.047,3585.80000281334,3585.82000279427,3585.80000281334,3.60866666666667,2.202,1.149,3585.80000281334,3585.85666948954,3585.80000281334,2.21413333333333,1.5185,1.133,-0.000702277719562364,0.00586161107337379,-0.000103111509367982,9.11805714285714,-0.000702277719562364,0.00122155668351711,-0.000646541317099756,10.8469421832603,-0.000702277719562364,-0.000688343617839409,-0.000702277719562364,22.8585858585859,-0.000702277719562364,-0.000576870839491857,-0.000702277719562364,10.233525456292,-0.000702277719562364,-0.000692988321366745,-0.000702277719562364,8.80621212121212,-0.000702277719562364,-0.000674409520546044,-0.000702277719562364,5.85472945064023,-0.000702277719562364,-0.000687414683335342,-0.000702277719562364,2.45623381428043,-0.000702277719562364,-0.000669764821448172,-0.000702277719562364,2.88844317096466,-0.000702277719562364,-0.00069670408596055,-0.000702277719562364,2.14070205976211,-0.000702277719562364,-0.000686485739972096,-0.000702277719562364,0.954221829949985
"R112",9982.14,10994.099997282,11020.3333310207,11024.149995029,105.013433333333,108.743,30.255,10967.6999931335,11001.5233302514,11001.2499964834,131.5293,141.797,55.668,10970.1999976635,10992.1466639042,10990.34999758,125.595433333333,128.4815,36.817,10968.1999988556,10988.0533306162,10988.9499967098,155.659366666667,161.936,103.058,10967.2999954224,10987.0633310556,10987.6999987363,202.303433333333,217.2005,71.5,10954.6999940872,10978.2866629839,10979.8499971032,278.039766666667,283.678,165.311,10963.3999942541,10977.9366628965,10978.2999937534,318.6837,317.947,217.458,10960.5999963284,10975.1599964261,10975.4999963045,300.6074,319.4255,169.675,10960.7999973297,10973.4299963991,10972.9499945641,313.079733333333,341.9995,133.155,10956.2999951839,10972.0866631071,10971.3499951363,420.949566666667,436.301,234.218,0.101377059155852,0.104005086185997,0.104387435462636,2.47094474742467,0.0987323352641317,0.102120720632186,0.102093338350629,1.3627452037077,0.0989827830168181,0.101181376328542,0.101001388237397,2.4113434916841,0.0987824252971407,0.100771310622387,0.100861137662846,0.510405467471391,0.0986922639256112,0.10067213353606,0.100735914216425,1.82941864801865,0.0974300094055182,0.0997928964113801,0.0999495095343484,0.681919331845229,0.0983015660223259,0.0997578337807805,0.099794231873471,0.465495406009436,0.0980210652553861,0.0994796703338267,0.0995137311542917,0.771665831737144,0.0980411011396053,0.0993063608002981,0.0992582747350869,1.35124278722792,0.097590295786665,0.0991717871225082,0.0990979885211289,0.797255405932365
"R211",2885.71,3814.29999423027,3870.29333098729,3877.89999651909,61.8001,64.9485,10.403,3797.39999628067,3847.6466640075,3850.5999982357,76.7364333333333,81.3165,28.324,3813.89999628067,3839.36666440964,3837.84999668598,85.2528,89.631,48.878,3794.5999982357,3832.08666435083,3833.29999554158,83.3132666666667,90.693,26.134,3797.09999728203,3826.5733307004,3829.09999716282,84.5029,89.316,48.72,3803.89999580383,3818.72999728123,3816.69999635219,123.912966666667,131.0915,66.457,3789.59999608994,3813.8733302633,3817.59999728203,131.8284,133.1575,46.042,3787.19999837875,3814.44666395187,3815.94999504089,113.591,117.5325,52.387,3790.49999547005,3809.61999687751,3810.64999854564,145.395533333333,148.1645,87.504,3778.69999694824,3802.67333034277,3805.19999837875,148.7974,153.346,31.431,0.321789089766563,0.341192750133345,0.34382872725225,4.94060367201769,0.315932646135845,0.333344883584111,0.334368317757398,1.70923716047639,0.321650476409851,0.330475572531417,0.329949993826816,0.744195752690372,0.314962348342592,0.327952796487113,0.328373258415286,2.18792632840999,0.315828685932415,0.326042232483651,0.326917811270994,0.734460180623974,0.318185124563393,0.323324241618608,0.322620774905377,0.8645585365976,0.313229671758403,0.321641235697037,0.322932656878905,1.86322053776986,0.312397988148064,0.321839915983198,0.322360873074874,1.16830511386413,0.313541553194898,0.320167306097117,0.320524237898349,0.661587279819589,0.309452438723309,0.317760041841616,0.318635621174252,3.73409691069326
"RC108",11139.82,12146.3000011444,12190.4900029818,12190.950003624,120.456966666667,120.888,42.36,11208.9000000954,12156.1233360529,12181.800003767,129.4373,128.665,32.801,11152.3000016212,12069.6600032488,12166.3500032425,149.348166666667,158.289,46.595,11164.7000026703,11994.5000024239,12151.7500035763,156.765533333333,175.257,34.676,11149.1000022888,11932.6566696485,12155.5000053644,192.897333333333,202.4315,45.555,11144.3000044823,11697.8733356237,12132.500002861,236.2404,248.1235,114.83,11149.4000005722,11599.5166688681,11223.3000025749,292.554566666667,312.978,114.122,11149.3000020981,11409.9133355935,11185.1500003337,265.114133333333,265.2815,33.921,11150.6000008583,11474.8833353599,11200.8000032902,267.1402,262.879,148.204,11145.9000029564,11406.2233353535,11189.3500027657,340.6579,376.412,82.401,0.0903497544075578,0.0943166050243028,0.0943578983883042,1.84364888259364,0.00620117740640338,0.0912315760984379,0.0935365206769049,2.94613883723057,0.00112030550055577,0.0834699306854911,0.0921496041446361,2.20524019029223,0.00223342950517164,0.0767229634252558,0.0908389905381147,3.52086553620179,0.000833047777145453,0.0711714075854445,0.0911756209134798,3.23438334613837,0.000402161299042579,0.0500953638051367,0.0891109553710068,1.05730558216494,0.000859978040237582,0.0412660769086098,0.00749383765401049,1.56352470747679,0.00085100137148537,0.0242457540241712,0.00406918606707738,6.81563436612521,0.000967699734672544,0.0300779846855608,0.00547405642911648,0.80251680116596,0.000545790053735138,0.0239145098712125,0.00444621212601733,3.13414764383927
"RC208",3828.14,3877.60000514984,3973.25000257492,3967.20000243187,61.9598,67.6775,4.503,3888.30000448227,3936.52666902542,3931.65000367165,77.1326666666667,78.5735,25.275,3877.60000276566,3926.13666890462,3925.09999978542,78.8105,84.0075,28.572,3863.30000305176,3908.84333635171,3911.30000305176,82.4069,86.7295,24.594,3853.20000219345,3897.21000254154,3900.60000276566,70.0599666666667,74.843,27.739,3843.90000295639,3893.04333601793,3891.40000426769,118.318533333333,126.3815,63.281,3849.80000209808,3879.6833359321,3879.05000376701,125.6839,131.707,79.335,3843.5000038147,3874.78000315825,3875.70000195504,118.672166666667,123.462,75.256,3855.00000190735,3874.45333576202,3875.45000386238,126.877033333333,127.304,69.432,3841.30000519753,3874.80000268618,3875.75000178814,139.434166666667,143.53,67.015,0.0129201139848177,0.0379061378567452,0.0363257358487073,12.7596713302243,0.0157152048990555,0.0283131413755561,0.0270392419482165,2.05173755357732,0.012920113362014,0.0255990295299082,0.0253282272292602,1.75831233375333,0.00918461786971224,0.0210816052578307,0.021723344248579,2.35069122550215,0.00654626063661469,0.018042705476169,0.0189282530852203,1.52568465577947,0.00411688260000681,0.0169542744042606,0.016524997588304,0.869732357790385,0.00565810082653194,0.0134643288730547,0.0132988876496197,0.584217558454654,0.00401239343772697,0.0121834632898096,0.0124237885644295,0.576913025760958,0.0070164628010862,0.0120981301002637,0.0123584831961162,0.827356742328225,0.0034377021732565,0.0121886876358187,0.012436849694144,1.0806411499913
"C108",10828.94,10827.3000018597,10839.4700018804,10827.3000018597,33.9534666666667,35.1595,3.938,10827.3000018597,10832.4266683738,10827.3000018597,30.7264,30.6445,3.755,10827.3000018597,10827.3366685311,10827.3000018597,27.2238333333333,25.8485,6.13,10827.3000018597,10827.3233352185,10827.3000018597,17.6108666666667,17.167,2.089,10827.3000018597,10827.3000018597,10827.3000018597,14.0564,13.219,1.092,10827.3000018597,10827.3366685311,10827.3000018597,12.6731666666667,11.949,1.2,10827.3000018597,10827.3600018899,10827.3000018597,12.8746333333333,12.614,3.36,10827.3000018597,10827.3000018597,10827.3000018597,12.8071666666667,14.512,3.436,10827.3000018597,10827.3466685772,10827.3000018597,12.2545,11.4845,4.671,10827.3000018597,10827.3233352185,10827.3000018597,12.8745,12.1605,2.963,-0.000151445860841507,0.000972394516947183,-0.000151445860841507,7.62200778737092,-0.000151445860841507,0.000321976885435614,-0.000151445860841507,7.18279627163782,-0.000151445860841507,-0.000148059871868199,-0.000151445860841507,3.44108210984231,-0.000151445860841507,-0.000149291138517446,-0.000151445860841507,7.43028562310515,-0.000151445860841507,-0.000151445860841507,-0.000151445860841507,11.8721611721612,-0.000151445860841507,-0.000148059871868199,-0.000151445860841507,9.56097222222222,-0.000151445860841507,-0.000145905149544138,-0.000151445860841507,2.83173611111111,-0.000151445860841507,-0.000151445860841507,-0.000151445860841507,2.7273476911137,-0.000151445860841507,-0.000147136416193553,-0.000151445860841507,1.62352815242989,-0.000151445860841507,-0.000149291138517446,-0.000151445860841507,3.34508943638205
"C207",3588.29,3585.80000281334,3606.59000293414,3586.00000286102,16.1736,16.174,2.118,3585.80000281334,3604.93333611488,3585.80000281334,15.8261333333333,11.866,2.498,3585.80000281334,3588.32333609263,3585.80000281334,10.0100333333333,5.991,0.424,3585.80000281334,3585.80666947365,3585.80000281334,10.1831333333333,8.6935,0.781,3585.80000281334,3585.85000279745,3585.80000281334,3.2822,2.511,0.835,3585.80000281334,3585.87333614032,3585.80000281334,3.52363333333333,3.5855,0.776,3585.80000281334,3585.82000281016,3585.80000281334,2.84443333333333,2.679,0.981,3585.80000281334,3585.87666947047,3585.80000281334,2.67096666666667,2.4885,1.055,3585.80000281334,3585.83333614667,3585.80000281334,2.43413333333333,1.58,1.044,3585.80000281334,3585.86333611806,3585.80000281334,2.50953333333333,1.533,1.119,-0.000693923062701125,0.00509992306478539,-0.000638186194252749,6.63626062322946,-0.000693923062701125,0.00463823607202436,-0.000693923062701125,5.33552175073392,-0.000693923062701125,9.29024483305372e-06,-0.000693923062701125,22.6085691823899,-0.000693923062701125,-0.000692065169300971,-0.000693923062701125,12.0385830132309,-0.000693923062701125,-0.000679988853340846,-0.000693923062701125,2.93077844311377,-0.000693923062701125,-0.000673486217581181,-0.000693923062701125,3.540764604811,-0.000693923062701125,-0.000688349378071164,-0.000693923062701125,1.89952429493714,-0.000693923062701125,-0.000672557270881104,-0.000693923062701125,1.53172195892575,-0.000693923062701125,-0.00068463358684123,-0.000693923062701125,1.33154533844189,-0.000693923062701125,-0.000676273066540665,-0.000693923062701125,1.24265713434614
"R111",11096.72,12083.199999094,12255.4599998673,12117.0000001192,120.030733333333,128.1915,35.188,12067.299998641,12117.4,12118.5000021458,147.6291,150.905,76.176,11112.0000030994,12061.3599999428,12091.4499964714,198.508466666667,226.197,54.731,12070.4999996424,12092.5099993149,12092.3500005007,195.6271,202.444,82.263,12066.5000008345,12087.9899999658,12086.7499997615,229.133366666667,247.4955,62.217,12060.099996686,12079.4266666372,12078.7499995827,271.512866666667,277.659,121.099,11159.7999970913,12046.7333331863,12075.2499994636,300.501733333333,306.0325,191.868,11105.4999976158,12005.430000035,12069.6499990225,276.495033333333,296.366,147.796,11125.0000025034,12010.8733336051,12074.0499995947,285.946966666667,295.7285,146.369,11099.2999978065,11976.1066669305,12069.4500018954,313.100133333333,318.8595,78.682,0.0888983410497878,0.104421847164503,0.0919442862502795,2.41112689932174,0.0874654851740875,0.091980332927207,0.092079461511672,0.938000157529931,0.00137698374829683,0.0869301919795012,0.0896418037466388,2.62698409798225,0.0877538587656893,0.0897373277252143,0.0897229091570033,1.37806911977438,0.0873933919964188,0.0893300002132012,0.0892182554630151,2.68280962866526,0.0868166446198517,0.0885583007084298,0.0884973216935049,1.24207356515468,0.00568456238341611,0.0856120847589481,0.0881819131656518,0.566189950035094,0.000791224579497393,0.0818899638843701,0.0876772594985276,0.870788338881521,0.00254850104385811,0.0823804992470863,0.0880737731144609,0.953603335861191,0.000232500937799693,0.0792474413097306,0.0876592364135934,2.9793108122993
"R210",3939.37,3973.09999918938,4029.66666587988,4026.79999554157,78.4453,78.5925,22.979,3966.59999871254,4004.68333213727,3998.40000045299,90.4076,94.434,45.311,3964.19999623299,3992.30333253543,3992.34999710322,73.3617666666667,73.2255,31.377,3944.79999649525,3983.74666490555,3983.44999861717,100.577,104.1505,40.934,3952.89999842644,3977.12666463852,3979.39999687672,80.3783,81.65,36.416,3959.99999761581,3972.89666537841,3971.0999994874,102.667533333333,103.2485,34.117,3949.6999976635,3969.05333175659,3968.34999918938,113.554,112.623,69.924,3956.39999556541,3969.64999745289,3971.39999818802,121.4173,127.3455,72.565,3947.39999771118,3964.98333143791,3966.24999910593,118.699666666667,120.22,84.251,3946.69999670982,3965.45999797185,3966.00000053644,125.570533333333,125.444,86.771,0.00856228259579073,0.0229216006315438,0.022193902969655,2.41378214891858,0.00691227244776201,0.0165796389111119,0.0149846296369711,0.995268257156099,0.00630303734683216,0.0134370045300203,0.0134488502230599,1.33807459816639,0.00137839210210013,0.0112649141628097,0.011189606108888,1.45705281672937,0.00343455893364681,0.00958444234446633,0.0101615224964196,1.20722484622144,0.00523687737272971,0.00851066677626422,0.00805458727852427,2.00927787710916,0.00262224611130722,0.00753504538964161,0.00735650603761011,0.623963160002288,0.00432302514498765,0.00768650760220399,0.00813074125761613,0.67322124991387,0.0020383964215547,0.0065018851841554,0.00682342585386369,0.408881398044731,0.00186070277984045,0.00662288588577677,0.00675996429287934,0.44714862492461
"RC107",12230.48,12270.7000055313,13019.6266724269,13294.1000071764,216.815833333333,243.66,37.824,12229.7000074387,12919.560006094,13288.8500074149,247.547666666667,270.14,97.427,12240.8000051975,12745.61667219,12322.0000009537,193.3106,198.1215,70.968,13382.7000060081,13978.8800045649,14394.5500030518,301.258933333333,303.1595,115.253,12235.7000043392,12400.6433393002,12267.3500061035,223.459933333333,237.646,107.129,12231.7000081539,12258.970006156,12262.2500071526,291.130466666667,314.559,93.302,12227.7000057697,12253.3100060066,12253.7500020266,278.1882,299.228,75.117,12225.5000064373,12251.2200067123,12249.2500056028,310.135166666667,316.442,191.272,12230.2000057697,12248.9900061448,12247.9000052213,313.917533333333,340.992,132.86,12226.5000066757,12250.7866736889,12249.5000097752,370.3473,391.1565,182.682,0.00328850589112615,0.0645229518732594,0.0869646986198743,4.73222909616469,-6.37744848362352e-05,0.0563412070576121,0.0865354432054058,1.54085280945392,0.000843793963728324,0.0421190887185159,0.00748294432873044,1.72391218577387,0.0942088949908835,0.14295432432455,0.176940725388681,1.61389233541282,0.000426802900556674,0.0139130548678513,0.00301460008957142,1.08589582030387,9.97514532464212e-05,0.00232942665831388,0.00259760918235437,2.12030253013512,-0.000227300500904221,0.00186664840681339,0.00190262377490917,2.70339869803107,-0.000407178913885616,0.00169576392032691,0.00153469083820101,0.621435268448423,-2.28931513970877e-05,0.00151343251817079,0.00142431083827856,1.3627693311255,-0.000325415954590446,0.00166033333842034,0.00155513191429939,1.0272785496108
"RC207",4061.14,4120.00000309944,4576.64000310898,4225.30000257492,98.6522333333333,104.814,19.883,4092.00000619888,4478.61667055289,4198.95000302791,105.272166666667,105.9635,54.439,4118.30000424385,4296.94667110443,4183.60000765324,85.3832666666667,82.8485,39.363,4074.60000753403,4139.2666712602,4128.45000267029,105.585866666667,112.368,46.099,4077.20000934601,4139.78667110602,4139.65000116825,88.1349666666667,87.4345,18.495,4086.40000247955,4116.66000358264,4115.60000407696,122.7042,121.3565,76.13,4075.80000925064,4109.5433385849,4112.60000705719,112.208933333333,111.43,32.408,4065.60000991821,4102.1033381621,4103.25000452995,114.1961,128.3025,37.055,4068.40000319481,4098.66333847046,4099.40000617504,125.199366666667,130.7355,49.387,4067.10000276566,4095.3800049146,4094.90000629426,129.592033333333,140.579,37.311,0.0144934681147263,0.126934802323726,0.0404221481098705,3.96163724454727,0.00759885308038618,0.102797901710576,0.033933822283377,0.933763784541719,0.0140748667230998,0.0580641571343099,0.0301540965475802,1.1691249820051,0.0033143421635377,0.0192376207814058,0.0165741645622386,1.29041555492889,0.00395455693376978,0.0193656636082529,0.0193320105113969,3.76534018203118,0.00621992900504531,0.0136710390635722,0.0134100287301002,0.611771969000394,0.00360982612040945,0.0119186579593168,0.0126713206284909,2.46238377355385,0.00109821624425896,0.0100866599432928,0.0103690108023743,2.08180002698691,0.00178767616846736,0.00923960722123809,0.00942100153529281,1.53506725791538,0.00146756890076671,0.008431131385424,0.00831293831147282,2.47329295203381
